,radiant_win,radiant_1,radiant_2,radiant_3,radiant_4,radiant_5,dire_1,dire_2,dire_3,dire_4,dire_5
80,0,95,56,87,38,91,45,41,104,64,85
81,1,69,92,86,14,4,32,7,17,26,54
82,0,3,9,93,34,2,69,114,21,25,64
83,0,4,87,107,14,70,97,1,96,5,21
84,0,73,2,27,87,105,14,9,28,99,54
85,1,38,64,44,47,119,101,102,86,48,35
86,0,17,21,27,54,62,9,86,18,47,71
87,1,67,50,110,22,32,51,109,46,14,101
88,1,2,87,22,93,101,67,26,89,120,47
89,0,35,11,14,101,97,4,72,96,9,86
90,1,23,90,5,97,48,99,22,14,18,30
91,0,108,13,8,3,34,101,97,22,67,14
92,1,99,89,41,30,22,31,109,100,17,55
93,0,9,4,56,98,73,93,101,27,32,120
94,0,87,108,95,22,14,2,89,64,56,114
95,1,44,29,5,14,40,111,36,30,21,70
96,1,63,40,114,84,23,16,101,13,1,96
97,0,20,11,27,41,93,78,9,1,4,100
98,1,21,14,41,39,11,16,13,30,9,48
99,1,44,101,74,55,100,9,23,108,27,93
100,1,14,22,85,29,12,82,74,99,9,72
101,0,17,14,48,70,119,64,60,99,109,82
102,0,39,4,47,40,56,46,26,21,67,14
103,0,93,68,108,19,87,76,59,111,16,98
104,1,84,104,35,30,74,57,17,76,19,3
105,1,14,112,11,48,21,74,7,26,8,53
106,0,27,69,11,93,101,37,22,9,14,10
107,1,45,7,82,42,112,86,23,69,21,18
108,0,86,25,9,37,95,78,10,110,2,59
109,1,31,44,21,2,11,87,4,25,69,70
110,0,21,12,30,22,16,25,18,87,38,31
111,0,22,42,99,17,88,71,26,41,110,48
112,1,12,13,20,14,99,101,43,41,37,48
113,1,12,21,119,23,2,74,75,38,69,106
114,1,39,14,41,93,23,70,21,9,34,51
115,1,17,93,68,63,89,11,84,64,1,97
116,0,86,8,2,39,36,55,74,89,114,14
117,1,37,31,59,104,12,86,18,14,7,74
118,0,28,75,110,52,41,26,48,63,14,113
119,1,4,99,68,90,94,70,108,5,8,39
120,1,4,5,106,99,9,114,88,26,2,74
121,1,88,2,14,11,67,34,86,69,41,22
122,0,14,46,90,69,44,87,11,107,110,8
123,1,67,3,74,19,100,88,17,61,64,93
124,1,97,7,74,41,26,84,86,69,23,72
125,0,28,83,72,114,21,113,67,101,68,23
126,1,1,119,41,26,22,69,111,34,4,42
127,1,81,120,23,26,27,105,93,62,110,91
128,1,82,69,8,91,52,112,16,46,54,21
129,0,44,22,14,64,97,34,108,87,67,75
130,1,53,64,67,101,27,2,41,34,55,26
131,1,37,34,85,90,1,74,9,113,40,3
132,1,110,21,18,83,84,68,41,105,32,106
133,1,25,26,5,10,99,45,43,16,111,93
134,1,81,39,14,75,36,8,86,69,21,35
135,0,79,34,10,75,2,63,26,23,8,17
136,1,16,34,56,8,26,14,11,69,48,79
137,0,51,50,4,92,6,49,85,68,63,32
138,0,14,103,41,2,112,51,78,77,48,20
139,1,37,6,9,46,108,2,84,101,81,20
140,1,32,39,8,119,59,21,100,12,31,101
141,1,93,31,95,14,99,25,98,44,8,84
142,0,108,41,34,79,101,112,17,83,55,114
143,0,30,71,99,22,95,21,93,110,23,56
144,0,99,72,26,101,34,54,51,27,47,14
145,0,67,36,105,79,34,64,93,22,51,74
146,1,16,74,58,42,3,4,19,120,37,7
147,0,5,11,110,114,9,26,44,38,103,48
148,1,119,17,14,67,33,51,1,2,34,21
149,0,78,14,22,93,37,8,30,38,91,113
150,0,26,28,95,14,106,8,99,74,30,16
151,0,102,31,1,9,11,14,69,92,93,21
152,0,10,71,3,110,74,113,41,26,87,29
153,0,60,67,112,78,21,26,37,12,110,25
154,1,69,22,26,72,64,93,11,32,38,9
155,0,37,41,51,34,78,88,21,48,5,17
156,1,120,11,14,37,6,48,40,46,91,30
157,0,91,15,107,7,114,2,26,6,111,21
158,0,14,64,74,53,95,104,100,22,68,67
159,0,12,22,83,69,37,32,67,34,27,110
160,1,14,50,47,34,1,93,22,74,21,91
161,0,64,22,3,85,67,47,21,62,41,27
162,0,41,87,69,104,35,89,112,102,34,47
163,0,93,91,35,108,71,48,110,57,25,69
164,0,41,14,119,22,55,86,84,108,74,56
165,0,96,41,2,14,23,87,56,120,54,97
166,0,43,9,44,30,53,21,23,26,41,62
167,1,77,106,27,25,110,19,21,86,81,32
168,0,119,67,26,49,46,72,120,31,62,48
169,0,88,26,119,95,14,16,40,31,45,1
170,1,38,49,74,120,4,33,72,21,27,14
171,1,89,92,60,119,6,64,88,85,82,56
172,1,56,42,4,120,14,74,114,66,23,68
173,0,7,10,32,120,74,61,41,98,30,14
174,0,62,10,45,68,105,93,76,120,100,14
175,1,18,7,86,22,11,74,101,14,48,9
176,0,63,34,38,23,48,100,74,37,120,67
177,1,92,68,113,56,87,74,37,10,9,12
178,0,7,114,110,64,22,34,33,13,8,86
179,1,56,14,42,26,31,44,37,97,22,64
180,0,51,10,17,71,37,93,27,14,96,22
181,1,38,91,22,48,101,30,112,111,67,78
182,1,26,64,9,55,54,8,27,119,75,2
183,0,14,91,8,17,19,97,64,92,105,93
184,0,42,20,108,27,22,1,84,34,96,37
185,0,119,32,48,65,34,87,7,55,11,28
186,0,67,32,74,29,68,54,34,102,2,110
187,1,93,108,87,68,49,95,70,14,59,16
188,1,46,10,90,21,32,104,14,98,4,23
189,1,108,110,4,21,31,112,87,54,94,69
190,0,1,9,56,74,64,114,14,45,73,2
191,1,8,3,31,76,33,112,97,14,1,2
192,0,12,2,34,22,26,91,48,60,35,7
193,1,85,120,27,77,74,48,25,41,87,14
194,1,26,54,14,45,35,114,21,22,82,64
195,0,101,38,91,34,8,21,70,83,9,30
196,1,72,47,91,120,3,95,68,2,21,101
197,1,87,16,69,8,25,90,26,67,23,74
198,0,12,69,100,107,74,37,106,10,105,21
199,0,51,67,5,69,25,59,50,101,71,56
200,0,113,23,26,1,51,101,14,74,67,38
201,0,99,36,104,64,119,94,29,30,22,100
202,1,23,69,5,74,54,93,120,101,9,87
203,1,11,93,5,102,53,1,64,56,79,71
204,0,32,41,34,8,27,9,67,2,69,11
205,0,23,69,1,21,68,10,14,9,17,87
206,0,74,101,21,41,7,60,6,46,64,33
207,1,41,79,25,99,90,29,10,30,38,35
208,1,17,104,14,68,78,91,41,7,46,38
209,1,91,96,84,93,25,11,2,53,100,114
210,1,32,79,25,28,35,16,34,52,71,48
211,1,106,21,64,68,12,36,41,49,27,14
212,0,47,100,84,72,69,35,71,30,46,19
213,1,56,7,119,106,71,34,60,9,30,6
214,1,63,31,93,68,47,87,56,37,67,99
215,1,8,21,73,71,102,75,41,29,9,3
216,0,11,22,9,14,72,2,48,45,21,91
217,1,81,7,46,99,27,104,18,106,119,86
218,1,25,91,50,109,69,86,120,56,87,11
219,1,17,51,42,37,97,4,31,71,25,60
220,0,23,7,93,69,37,87,22,54,51,9
221,0,37,14,41,43,98,101,81,106,71,69
222,1,5,21,119,12,7,103,93,76,91,60
223,0,44,97,45,87,104,120,53,114,71,35
224,0,27,2,12,14,47,119,42,39,8,56
225,0,8,31,62,96,76,10,100,26,51,74
226,0,109,120,14,20,23,48,28,64,75,106
227,0,11,120,17,58,79,9,91,25,72,99
228,1,13,58,67,3,9,5,101,4,63,89
229,0,107,39,89,120,77,74,4,30,37,16
230,0,12,97,11,14,9,17,28,98,86,93
231,0,39,41,16,67,75,20,84,104,74,48
232,0,44,63,60,21,119,79,69,56,52,19
233,1,67,52,14,30,21,114,49,27,35,4
234,1,26,12,8,69,16,29,14,11,48,7
235,0,89,56,25,74,14,69,26,119,18,105
236,0,51,87,93,21,11,99,81,34,37,27
237,0,19,11,26,23,77,114,9,110,22,21
238,0,41,88,26,85,101,16,67,35,69,30
239,1,108,35,21,14,32,12,31,100,101,2
240,0,41,21,101,100,22,63,84,97,95,9
241,1,35,37,2,95,100,11,111,103,36,69
242,0,108,120,76,93,21,32,104,43,67,26
243,0,81,31,75,23,88,44,113,111,84,99
244,1,8,37,106,26,38,14,22,4,67,86
245,1,39,14,17,71,8,46,27,6,23,21
246,1,76,41,86,31,2,85,37,22,40,1
247,1,114,2,119,11,32,71,36,6,106,14
248,0,76,44,69,90,103,18,26,88,55,21
249,0,86,74,8,21,103,93,119,100,99,22
250,1,38,111,21,59,11,20,51,93,16,4
251,0,72,71,53,32,11,67,99,50,86,16
252,0,33,105,7,109,37,114,5,1,101,16
253,0,11,6,20,69,111,67,16,31,99,56
254,0,33,101,95,84,80,14,67,22,11,38
255,0,87,69,114,14,22,30,20,97,99,91
256,1,41,119,60,17,14,62,34,4,37,21
257,1,35,41,21,14,91,47,101,89,53,93
258,0,48,8,76,5,90,21,45,14,37,12
259,0,87,102,21,59,120,76,85,91,97,47
260,1,74,71,99,93,30,67,22,98,46,14
261,0,44,9,74,2,86,120,48,92,7,62
262,0,69,105,17,40,1,87,74,94,67,73
263,0,9,81,22,90,100,49,93,87,39,5
264,1,101,110,96,52,10,92,97,20,88,93
265,1,4,17,29,14,119,31,95,22,100,108
266,1,27,114,36,88,37,106,63,7,64,86
267,1,14,41,34,101,99,35,50,67,110,4
268,0,32,10,86,11,108,119,23,21,48,74
269,0,41,119,68,17,103,90,101,111,99,59
270,1,110,77,101,81,32,114,17,64,14,29
271,1,14,19,67,27,43,54,21,2,37,86
272,1,27,83,67,74,88,87,100,81,34,53
273,1,84,70,21,91,93,62,76,114,119,14
274,0,93,97,45,85,14,11,22,44,102,3
275,0,89,26,49,106,64,9,93,36,34,21
276,0,11,41,16,101,42,71,75,88,1,45
277,0,31,67,34,71,120,69,27,106,32,48
278,0,27,14,23,99,67,31,96,41,71,34
279,1,63,31,10,84,39,93,107,68,69,35
280,0,64,47,44,101,99,82,14,12,108,68
281,0,120,64,4,30,39,10,71,21,26,11
282,0,54,87,7,22,52,38,12,37,73,14
283,1,2,8,101,22,68,59,14,47,110,37
284,0,27,1,33,37,25,86,9,22,41,110
285,1,101,14,36,12,120,56,74,104,32,21
286,1,74,27,93,71,2,75,54,32,86,11
287,0,17,51,22,67,32,48,87,69,34,14
288,0,101,54,92,5,38,81,68,71,14,35
289,0,47,71,26,43,54,75,99,14,81,63
290,1,12,74,26,57,69,53,34,94,14,21
291,1,16,41,25,22,14,40,64,1,60,17
292,1,37,74,93,14,69,103,21,109,99,79
293,0,93,92,16,20,88,110,53,50,41,23
294,0,41,14,56,75,53,35,20,83,93,82
295,0,100,8,11,99,87,75,16,13,114,47
296,1,44,108,4,14,30,27,21,53,109,39
297,1,58,74,111,5,67,14,21,23,45,93
298,1,114,84,44,3,110,120,45,37,64,67
299,1,2,14,67,20,101,10,56,30,19,120
300,0,75,12,52,99,23,7,44,91,54,97
301,1,13,119,108,37,6,8,110,96,27,21
302,0,110,35,13,83,86,8,87,17,7,23
303,0,73,59,111,68,21,35,102,114,95,86
304,0,21,12,17,79,69,111,32,22,36,93
305,0,34,51,100,98,30,14,23,108,67,57
306,0,96,14,111,49,67,71,87,93,120,56
307,1,8,74,32,28,14,41,100,105,11,111
308,1,10,22,114,48,79,99,86,101,8,14
309,0,21,22,56,27,89,99,3,74,55,93
310,0,59,108,19,23,64,69,54,48,17,100
311,1,21,69,4,95,71,41,97,102,27,14
312,0,30,59,62,38,93,12,2,9,87,83
313,0,67,107,96,13,86,14,38,64,77,92
314,1,101,68,5,8,110,104,41,31,22,26
315,0,110,81,22,30,108,60,1,41,21,75
316,1,100,69,106,87,22,120,86,76,108,81
317,1,83,4,2,88,21,44,27,55,11,14
318,0,38,22,20,12,5,99,91,59,51,41
319,1,71,23,21,48,69,39,7,9,104,89
320,0,22,45,72,87,21,69,30,20,23,10
321,1,7,21,64,67,46,6,108,101,87,25
322,1,12,52,120,37,25,1,101,99,87,44
323,1,12,21,7,74,98,75,67,37,17,28
324,0,14,106,6,57,107,75,8,76,30,22
325,0,110,56,32,57,1,22,26,25,94,41
326,1,22,12,9,19,108,17,13,5,119,114
327,0,40,38,54,84,21,114,12,16,71,5
328,0,19,93,21,7,68,20,13,17,14,8
329,0,27,74,95,16,21,11,104,63,60,30
330,1,28,86,33,109,11,107,17,54,23,7
331,0,16,12,120,106,75,60,11,41,32,90
332,1,32,21,47,95,30,103,101,85,12,25
333,1,79,99,7,12,9,21,101,48,84,106
334,1,46,8,87,9,120,19,11,72,86,21
335,1,95,101,32,23,119,8,2,62,47,87
336,0,48,53,9,14,76,74,7,54,101,88
337,0,120,26,16,1,22,41,101,2,74,89
338,0,30,46,38,32,12,67,110,74,23,9
339,1,87,31,20,6,74,21,30,47,8,101
340,0,7,30,22,8,96,69,91,4,109,31
341,0,84,69,46,6,120,8,22,62,33,63
342,0,93,9,27,69,52,49,12,44,74,86
343,1,18,69,57,26,74,14,39,21,93,97
344,1,67,17,101,2,33,1,87,9,39,21
345,0,25,104,19,95,93,53,42,14,23,17
346,0,22,31,69,86,10,40,2,93,26,34
347,0,67,46,5,37,32,25,42,119,85,44
348,0,13,99,54,110,69,37,93,46,2,39
349,1,39,23,93,30,89,60,4,44,26,108
350,0,20,76,101,69,27,34,64,67,120,75
351,1,8,97,27,100,34,112,73,9,111,48
352,1,95,111,98,101,22,44,61,75,91,38
353,1,88,109,27,16,17,120,68,49,8,101
354,1,2,81,76,3,119,48,16,34,111,38
355,1,72,31,69,20,4,27,12,110,101,59
356,1,106,14,21,27,1,111,11,9,41,6
357,0,31,100,8,53,34,22,16,67,7,105
358,1,48,57,49,32,37,75,76,62,69,44
359,0,93,50,7,99,76,91,46,6,101,104
360,0,62,101,46,69,106,16,114,26,88,11
361,1,42,21,23,14,30,84,113,40,5,105
362,0,82,79,73,63,9,74,106,51,86,84
363,1,104,14,11,27,44,26,8,13,89,65
364,0,14,101,67,17,104,1,37,39,9,7
365,1,113,29,41,119,101,88,32,9,48,46
366,1,94,22,79,14,77,30,4,101,21,106
367,0,54,21,101,2,11,60,46,69,75,12
368,0,16,86,42,14,22,41,77,4,99,35
369,1,74,120,7,81,107,22,51,109,14,54
370,0,67,64,26,33,49,51,23,8,74,68
371,0,76,64,42,70,120,3,88,6,21,99
372,0,35,31,53,6,21,67,112,4,37,69
373,1,22,90,71,12,13,88,3,95,42,25
374,1,112,93,22,14,40,26,95,34,87,120
375,0,21,106,71,1,26,73,49,104,31,64
376,1,11,110,4,59,7,56,37,101,52,9
377,0,35,26,54,108,21,22,107,98,30,67
378,1,93,76,88,5,9,50,52,21,71,98
379,1,38,87,14,56,44,62,112,76,21,12
380,0,23,13,38,27,77,86,28,101,48,39
381,1,14,10,27,74,2,34,71,93,120,3
382,0,15,83,91,73,7,90,99,48,64,30
383,0,8,9,30,11,105,42,22,74,57,7
384,1,14,74,38,88,67,27,34,110,114,48
385,1,84,37,8,46,51,1,74,68,120,14
386,1,41,14,44,58,22,18,2,9,74,26
387,1,114,16,71,11,5,37,55,46,48,89
388,1,41,2,111,100,35,26,25,114,31,21
389,0,80,26,14,46,28,5,54,38,47,119
390,0,23,77,11,58,101,22,69,67,14,37
391,1,14,71,110,1,74,89,85,8,83,22
392,0,52,23,37,95,85,101,56,114,21,111
393,1,47,9,42,25,22,36,82,21,32,72
394,1,69,87,104,56,22,64,25,14,4,68
395,1,96,67,90,86,13,55,74,26,120,44
396,1,2,32,89,67,34,120,11,14,48,101
397,1,4,111,13,14,106,2,74,91,41,87
398,0,64,89,106,99,48,119,11,26,67,2
399,1,42,86,45,93,97,23,12,14,74,90
400,0,27,59,2,103,9,107,106,74,36,81
401,1,30,14,74,41,9,56,84,8,63,32
402,0,108,22,41,119,71,86,87,1,47,104
403,0,23,87,41,9,108,97,14,25,26,67
404,1,23,38,109,75,46,36,64,31,99,1
405,1,31,85,34,41,104,14,84,77,102,76
406,1,74,108,68,93,89,18,36,111,84,35
407,1,30,39,38,41,85,1,26,23,75,83
408,1,30,41,21,2,101,95,34,9,22,26
409,0,62,8,73,35,26,22,77,86,71,21
410,1,3,11,88,8,23,110,26,76,48,27
411,0,101,25,23,70,16,12,35,99,14,68
412,1,112,14,69,67,22,21,81,16,11,23
413,0,93,32,17,98,27,42,10,99,111,92
414,1,37,99,41,34,22,76,9,47,14,23
415,0,64,41,39,14,21,27,114,63,7,34
416,0,56,87,72,120,29,31,25,8,21,37
417,1,59,21,74,87,33,44,26,99,13,14
418,1,93,28,39,111,85,21,74,36,67,11
419,0,14,93,41,74,84,18,110,21,42,37
420,1,9,27,56,8,14,74,32,84,21,39
421,0,8,108,79,34,86,23,17,88,75,48
422,0,61,108,50,22,112,25,14,54,19,27
423,0,9,26,94,41,11,6,55,84,82,7
424,1,120,22,14,86,4,75,101,69,18,100
425,0,37,36,29,62,41,111,1,69,47,101
426,1,114,107,13,71,88,23,8,41,62,74
427,1,103,41,64,35,45,104,101,23,39,6
428,1,23,99,48,22,5,100,52,28,37,67
429,0,68,110,22,8,99,35,49,101,20,14
430,0,1,5,90,53,44,119,16,67,101,17
431,1,80,105,67,71,9,21,35,87,3,94
432,0,74,42,26,63,71,4,69,1,86,22
433,0,8,46,16,21,27,86,54,23,61,25
434,1,21,74,27,93,22,86,87,48,99,113
435,0,5,4,14,88,23,16,41,60,37,43
436,0,44,26,74,69,42,27,64,8,76,57
437,0,8,34,37,108,62,22,69,26,88,93
438,1,2,87,34,89,8,23,108,22,41,37
439,1,21,14,105,67,74,56,86,5,38,44
440,0,34,30,101,2,18,61,37,69,114,103
441,0,69,93,86,22,17,44,3,27,77,11
442,1,91,26,48,74,16,109,9,57,11,110
443,1,11,23,85,41,21,56,42,99,16,86
444,0,93,62,86,17,120,1,31,28,14,34
445,1,27,34,109,108,74,99,64,35,48,26
446,0,7,5,92,56,34,14,81,28,40,106
447,0,101,71,27,69,67,96,119,21,25,114
448,0,42,89,99,119,34,26,22,93,16,69
449,0,27,41,14,102,74,25,8,97,11,71
450,0,74,69,105,14,1,11,86,4,16,8
451,1,65,44,21,86,48,99,70,26,74,23
452,1,119,74,93,22,21,23,26,46,38,33
453,1,48,34,119,9,14,67,86,11,97,27
454,1,31,4,18,27,57,107,77,45,69,75
455,0,91,94,4,3,38,7,48,83,37,25
456,1,42,4,74,2,98,105,14,10,31,104
457,1,1,14,82,75,21,89,22,107,18,86
458,1,23,83,93,14,113,42,114,16,35,22
459,0,26,97,106,16,42,92,9,67,23,119
460,0,101,74,10,88,97,77,44,50,90,11
461,0,41,110,14,17,68,49,22,114,23,9
462,0,5,62,21,109,92,99,22,37,67,91
463,1,103,74,44,87,38,4,72,86,61,76
464,1,106,27,89,41,72,25,26,2,6,64
465,1,14,71,85,88,41,99,101,33,93,27
466,1,8,34,51,98,9,10,110,87,73,23
467,0,101,114,2,72,78,37,21,10,98,25
468,1,119,11,89,114,65,25,104,54,110,101
469,0,99,68,11,98,69,114,21,85,104,83
470,1,23,20,96,114,62,99,32,26,104,86
471,1,74,27,2,101,67,14,8,11,99,64
472,0,19,14,7,74,114,81,9,21,11,64
473,1,101,85,39,2,77,7,63,21,67,47
474,0,15,14,9,16,101,56,3,51,8,45
475,1,106,71,75,21,77,59,33,12,4,86
476,1,96,44,86,51,54,14,98,59,67,87
477,1,63,28,17,66,69,34,16,110,96,9
478,0,74,112,101,32,4,22,71,44,87,97
479,0,25,114,13,30,68,69,101,8,27,14
480,0,26,113,11,51,14,9,60,22,12,89
481,0,101,94,100,44,39,22,8,104,59,120
482,1,9,33,6,3,25,26,108,57,70,36
483,0,78,21,1,22,14,20,31,39,84,48
484,0,9,46,7,67,52,37,91,93,16,11
485,0,14,48,51,35,22,11,75,67,23,21
486,1,69,74,30,100,95,48,64,20,38,77
487,0,77,106,101,84,4,74,93,45,2,27
488,0,39,87,44,119,96,5,82,83,11,99
489,0,93,60,46,37,98,11,101,28,114,9
490,1,35,6,84,97,20,17,85,66,120,67
491,1,9,18,14,39,20,98,21,67,101,64
492,1,38,2,21,52,25,14,92,99,63,27
493,1,14,2,22,11,42,44,106,47,69,37
494,1,55,25,48,31,93,18,14,27,97,11
495,0,48,101,34,108,7,92,45,35,27,77
496,0,52,106,12,75,30,89,34,53,72,84
497,1,36,114,25,8,16,51,87,46,9,1
498,0,86,16,87,93,110,64,104,44,89,106
499,1,72,69,101,62,34,41,60,17,51,114
500,1,32,75,14,54,22,95,9,87,101,2
501,1,1,57,96,35,7,87,8,12,99,85
502,1,101,70,1,75,64,17,40,69,77,21
503,1,15,46,14,120,108,97,32,84,18,25
504,0,74,99,71,26,76,28,20,21,41,17
505,1,33,64,18,23,101,93,87,11,32,96
506,0,110,14,26,80,11,75,74,67,102,101
507,0,17,111,114,14,102,48,79,4,64,2
508,0,51,10,37,22,5,67,79,7,13,102
509,0,2,66,119,25,48,11,108,32,101,41
510,1,100,46,21,27,81,41,22,10,9,86
511,0,8,120,84,23,101,14,4,48,31,34
512,0,20,38,92,48,37,71,70,58,28,34
513,0,37,102,39,100,6,11,87,42,9,32
514,0,94,57,62,76,69,21,108,71,26,48
515,1,29,21,114,84,36,76,27,32,93,2
516,1,105,104,86,22,67,7,12,2,48,79
517,1,85,84,46,102,114,93,96,22,14,27
518,1,74,110,67,88,14,11,21,106,34,5
519,1,34,31,10,69,32,25,64,72,2,89
520,1,107,101,14,20,81,33,64,16,48,39
521,0,93,74,2,101,9,35,67,14,96,84
522,1,93,75,56,100,87,50,39,76,10,101
523,1,69,22,84,67,21,37,114,74,104,71
524,1,1,37,16,75,43,100,2,119,12,87
525,0,93,101,91,11,60,81,56,33,30,31
526,0,20,70,67,14,21,95,60,17,27,110
527,0,101,40,113,39,2,16,74,1,87,69
528,1,2,87,114,74,16,11,8,110,28,86
529,1,8,99,87,92,51,71,90,69,93,47
530,1,99,74,41,103,37,96,60,27,18,11
531,1,106,57,87,14,59,86,69,11,75,48
532,0,77,102,23,34,57,14,49,9,72,67
533,1,7,55,99,9,74,39,32,114,33,104
534,1,5,85,114,22,51,26,23,99,47,35
535,0,41,21,11,69,59,37,97,39,86,95
536,0,92,34,21,63,13,47,85,76,26,67
537,1,31,38,22,37,81,14,16,8,26,69
538,1,120,68,12,47,101,17,7,114,111,5
539,0,69,89,56,101,54,28,81,96,74,20
540,1,47,86,63,20,38,21,1,13,100,45
541,0,30,32,11,49,2,4,59,53,111,14
542,1,22,73,9,71,120,87,41,100,98,74
543,0,61,22,8,101,38,28,87,91,34,12
544,0,6,56,9,91,98,11,93,120,31,26
545,1,12,68,51,55,47,8,23,104,106,84
546,1,10,30,7,74,22,75,4,21,34,14
547,0,86,75,101,35,95,30,99,103,92,6
548,1,12,74,110,90,19,64,41,14,9,32
549,1,32,39,112,38,67,111,11,10,56,26
550,0,88,119,14,11,48,33,62,101,76,42
551,0,104,31,23,93,25,45,12,120,7,42
552,1,49,108,27,114,119,71,99,12,59,37
553,0,4,39,25,51,87,67,21,108,31,71
554,0,21,79,41,14,35,26,71,44,99,54
555,1,47,9,66,119,104,83,37,55,25,12
556,1,29,14,44,113,37,26,22,7,86,67
557,1,2,6,30,14,11,62,101,44,98,74
558,1,4,97,84,23,44,39,69,114,14,100
559,1,2,101,36,75,8,74,95,119,69,88
560,1,47,26,51,93,9,11,70,34,21,14
561,0,3,65,91,101,93,46,41,27,9,54
562,0,67,62,26,21,63,34,101,14,48,4
563,0,104,54,11,107,119,91,8,2,74,110
564,1,102,52,7,9,67,38,101,25,44,17
565,0,67,84,26,82,19,17,38,12,37,45
566,1,99,67,90,37,34,42,56,22,27,5
567,0,37,21,4,88,107,27,48,85,106,83
568,1,37,47,13,21,6,68,106,16,120,10
569,1,37,87,34,2,93,86,70,38,30,23
570,1,109,111,86,113,69,107,101,74,54,120
571,1,112,4,85,22,108,9,11,110,27,14
572,1,41,9,84,35,4,14,71,34,65,93
573,0,43,58,7,14,4,20,46,68,44,28
574,0,4,21,35,67,87,71,34,93,26,2
575,0,70,74,9,39,30,2,111,6,112,35
576,0,94,34,21,27,26,74,81,99,111,14
577,0,19,44,5,18,34,22,84,16,104,82
